Time (s)	Measured Amplitude (V)
0	0.556434
0.1	0.556598
0.2	0.556434
0.3	0.556598
0.4	0.556434
0.5	0.556434
0.6	0.556434
0.7	0.556269
0.8	0.556598
0.9	0.556434
1	0.556434
1.1	0.556269
1.2	0.556105
1.3	0.556434
1.4	0.556598
1.5	0.556434
1.6	0.55594
1.7	0.556269
1.8	0.556105
1.9	0.556269
2	0.556105
2.1	0.556105
2.2	0.556105
2.3	0.555776
2.4	0.55594
2.5	0.55594
2.6	0.55594
2.7	0.555612
2.8	0.555776
2.9	0.556105
3	0.555776
3.1	0.555612
3.2	0.555283
3.3	0.554954
3.4	0.553967
3.5	0.552816
3.6	0.551665
3.7	0.549362
3.8	0.547389
3.9	0.544593
4	0.541633
4.1	0.538672
4.2	0.535054
4.3	0.531272
4.4	0.527325
4.5	0.523213
4.6	0.518937
4.7	0.514661
4.8	0.510056
4.9	0.505452
5	0.500847
5.1	0.495913
5.2	0.491144
5.3	0.48621
5.4	0.480783
5.5	0.476013
5.6	0.47108
5.7	0.466146
5.8	0.460225
5.9	0.45562
6	0.451016
6.1	0.446246
6.2	0.441148
6.3	0.43605
6.4	0.431281
6.5	0.426182
6.6	0.421249
6.7	0.416479
6.8	0.411381
6.9	0.406612
7	0.401842
7.1	0.397073
7.2	0.392304
7.3	0.387699
7.4	0.383094
7.5	0.378654
7.6	0.37372
7.7	0.369608
7.8	0.365004
7.9	0.360728
8	0.356616
8.1	0.352505
8.2	0.348229
8.3	0.343953
8.4	0.34017
8.5	0.336059
8.6	0.332112
8.7	0.328165
8.8	0.324711
8.9	0.320764
9	0.316982
9.1	0.313528
9.2	0.310239
9.3	0.306621
9.4	0.303003
9.5	0.299713
9.6	0.296424
9.7	0.293135
9.8	0.289846
9.9	0.286721
10	0.283596
10.1	0.280472
10.2	0.277511
10.3	0.27488
10.4	0.271426
10.5	0.268466
10.6	0.265999
10.7	0.263204
10.8	0.260572
10.9	0.257941
11	0.255145
11.1	0.252514
11.2	0.249882
11.3	0.247415
11.4	0.244784
11.5	0.242482
11.6	0.23985
11.7	0.237219
11.8	0.234917
11.9	0.23245
12	0.229818
12.1	0.227351
12.2	0.22472
12.3	0.222089
12.4	0.219786
12.5	0.217155
12.6	0.214688
12.7	0.211728
12.8	0.209754
12.9	0.207123
13	0.204821
13.1	0.202189
13.2	0.199887
13.3	0.19742
13.4	0.195118
13.5	0.192815
13.6	0.190677
13.7	0.187881
13.8	0.185908
13.9	0.18377
14	0.181303
14.1	0.179494
14.2	0.177356
14.3	0.175218
14.4	0.172916
14.5	0.170778
14.6	0.168969
14.7	0.166831
14.8	0.165022
14.9	0.163048
15	0.161239
15.1	0.159594
15.2	0.157456
15.3	0.155976
15.4	0.153838
15.5	0.152523
15.6	0.150549
15.7	0.149069
15.8	0.147424
15.9	0.145944
16	0.144135
16.1	0.142655
16.2	0.141011
16.3	0.139695
16.4	0.13805
16.5	0.135912
16.6	0.134926
16.7	0.133939
16.8	0.132459
16.9	0.131143
17	0.129663
17.1	0.128512
17.2	0.127032
17.3	0.125716
17.4	0.124729
17.5	0.123413
17.6	0.122098
17.7	0.120947
17.8	0.119631
17.9	0.118644
18	0.117493
18.1	0.116177
18.2	0.115355
18.3	0.114368
18.4	0.113217
18.5	0.112395
18.6	0.111243
18.7	0.110257
18.8	0.109434
18.9	0.108448
19	0.107625
19.1	0.106803
19.2	0.105816
19.3	0.104994
19.4	0.104007
19.5	0.103021
19.6	0.102034
19.7	0.101211
19.8	0.100389
19.9	0.0998958
20	0.098909
20.1	0.0982512
20.2	0.0972645
20.3	0.0967711
20.4	0.0961132
20.5	0.0952909
20.6	0.0947976
20.7	0.0938108
20.8	0.0929885
20.9	0.0923307
21	0.0916728
21.1	0.0913439
21.2	0.0903572
21.3	0.0898638
21.4	0.089206
21.5	0.0887126
21.6	0.0878903
21.7	0.0872325
21.8	0.0867391
21.9	0.0860812
22	0.0855879
22.1	0.08493
22.2	0.0844367
22.3	0.0837788
22.4	0.083121
22.5	0.0827921
22.6	0.0822987
22.7	0.0816409
22.8	0.0811475
22.9	0.0801607
23	0.0798318
23.1	0.0798318
23.2	0.0793384
23.3	0.0786806
23.4	0.0781872
23.5	0.0776938
23.6	0.077036
23.7	0.0767071
23.8	0.0760492
23.9	0.0758848
24	0.075227
24.1	0.074898
24.2	0.0744047
24.3	0.0740757
24.4	0.0734179
24.5	0.0732534
24.6	0.0727601
24.7	0.0722667
24.8	0.0719378
24.9	0.0716089
25	0.0712799
25.1	0.0707866
25.2	0.0704576
25.3	0.0701287
25.4	0.0697998
25.5	0.069142
25.6	0.0689775
25.7	0.0688131
25.8	0.0681552
25.9	0.0676618
26	0.0674974
26.1	0.0673329
26.2	0.0668395
26.3	0.0666751
26.4	0.0660173
26.5	0.0656883
26.6	0.0656883
26.7	0.065195
26.8	0.064866
26.9	0.0645371
27	0.0643727
27.1	0.0638793
27.2	0.0637148
27.3	0.0633859
27.4	0.0633859
27.5	0.0627281
27.6	0.0623992
27.7	0.0620702
27.8	0.0619058
27.9	0.0614124
28	0.0612479
28.1	0.0610835
28.2	0.0605901
28.3	0.0602612
28.4	0.0594389
28.5	0.0597678
28.6	0.0594389
28.7	0.0592744
28.8	0.0589455
28.9	0.0586166
29	0.0582877
29.1	0.0579588
29.2	0.0577943
29.3	0.0573009
29.4	0.0571365
29.5	0.0566431
29.6	0.0564786
29.7	0.0563142
29.8	0.0559853
29.9	0.0559853
30	0.0556563
30.1	0.0554919
30.2	0.055163
30.3	0.0546696
30.4	0.0543407
30.5	0.0545051
30.6	0.0540117
