Time (s)	Measured Amplitude (V)
0	0.761514
0.1	0.761021
0.2	0.760856
0.3	0.760692
0.4	0.760856
0.5	0.760527
0.6	0.760198
0.7	0.760034
0.8	0.760034
0.9	0.759705
1	0.759541
1.1	0.759541
1.2	0.759212
1.3	0.759212
1.4	0.759047
1.5	0.758718
1.6	0.758718
1.7	0.758554
1.8	0.758225
1.9	0.758225
2	0.75806
2.1	0.758225
2.2	0.757567
2.3	0.757567
2.4	0.757074
2.5	0.757403
2.6	0.757074
2.7	0.756745
2.8	0.756909
2.9	0.756745
3	0.756416
3.1	0.755594
3.2	0.756087
3.3	0.755923
3.4	0.755758
3.5	0.755265
3.6	0.755429
3.7	0.755429
3.8	0.755265
3.9	0.755594
4	0.756087
4.1	0.756745
4.2	0.758225
4.3	0.759541
4.4	0.761843
4.5	0.764803
4.6	0.767928
4.7	0.771875
4.8	0.775658
4.9	0.780427
5	0.785032
5.1	0.790294
5.2	0.795393
5.3	0.801313
5.4	0.807234
5.5	0.813319
5.6	0.819404
5.7	0.825818
5.8	0.832067
5.9	0.838645
6	0.845059
6.1	0.851638
6.2	0.858545
6.3	0.864959
6.4	0.871537
6.5	0.878444
6.6	0.885681
6.7	0.892095
6.8	0.898673
6.9	0.905251
7	0.911994
7.1	0.918901
7.2	0.92548
7.3	0.932223
7.4	0.938308
7.5	0.94505
7.6	0.951793
7.7	0.958207
7.8	0.964785
7.9	0.970706
8	0.977284
8.1	0.983205
8.2	0.989783
8.3	0.995868
8.4	1.00179
8.5	1.00771
8.6	1.01363
8.7	1.01955
8.8	1.02531
8.9	1.03123
9	1.03665
9.1	1.04208
9.2	1.04767
9.3	1.05326
9.4	1.05836
9.5	1.06428
9.6	1.06938
9.7	1.07497
9.8	1.07991
9.9	1.08533
10	1.09043
10.1	1.09553
10.2	1.10063
10.3	1.1054
10.4	1.11066
10.5	1.11576
10.6	1.1202
10.7	1.1253
10.8	1.1299
10.9	1.135
11	1.13928
11.1	1.14388
11.2	1.14832
11.3	1.15309
11.4	1.15753
11.5	1.16181
11.6	1.16625
11.7	1.17036
11.8	1.17464
11.9	1.17875
12	1.18302
12.1	1.18681
12.2	1.19092
12.3	1.19519
12.4	1.19898
12.5	1.20259
12.6	1.20654
12.7	1.20999
12.8	1.21378
12.9	1.21739
13	1.22134
13.1	1.22463
13.2	1.22825
13.3	1.2317
13.4	1.23516
13.5	1.23828
13.6	1.24173
13.7	1.24502
13.8	1.24815
13.9	1.25127
14	1.2544
14.1	1.25736
14.2	1.26048
14.3	1.26344
14.4	1.2664
14.5	1.26936
14.6	1.27216
14.7	1.27496
14.8	1.27759
14.9	1.28022
15	1.28334
15.1	1.28548
15.2	1.28861
15.3	1.29124
15.4	1.29387
15.5	1.2965
15.6	1.29897
15.7	1.30143
15.8	1.30406
15.9	1.30653
16	1.30883
16.1	1.31114
16.2	1.31377
16.3	1.31607
16.4	1.31821
16.5	1.32051
16.6	1.32281
16.7	1.32512
16.8	1.32725
16.9	1.32939
17	1.33169
17.1	1.33383
17.2	1.3358
17.3	1.33745
17.4	1.33975
17.5	1.34189
17.6	1.34386
17.7	1.34584
17.8	1.34781
17.9	1.34962
18	1.35159
18.1	1.35357
18.2	1.35488
18.3	1.35718
18.4	1.35899
