Time (s)	P.D. (V)	linearized V	temp (°C)
-3.1	0.556434	-0.6124	29.31
-3.0	0.556598	-0.6121	29.32
-2.9	0.556434	-0.6124	29.31
-2.8	0.556598	-0.6121	29.32
-2.7	0.556434	-0.6124	29.31
-2.6	0.556434	-0.6124	29.31
-2.5	0.556434	-0.6124	29.31
-2.4	0.556269	-0.6127	29.3
-2.3	0.556598	-0.6121	29.32
-2.2	0.556434	-0.6124	29.31
-2.1	0.556434	-0.6124	29.31
-2.0	0.556269	-0.6127	29.3
-1.9	0.556105	-0.613	29.28
-1.8	0.556434	-0.6124	29.31
-1.7	0.556598	-0.6121	29.32
-1.6	0.556434	-0.6124	29.31
-1.5	0.55594	-0.6133	29.27
-1.4	0.556269	-0.6127	29.3
-1.3	0.556105	-0.613	29.28
-1.2	0.556269	-0.6127	29.3
-1.1	0.556105	-0.613	29.28
-1.0	0.556105	-0.613	29.28
-0.9	0.556105	-0.613	29.28
-0.8	0.555776	-0.6136	29.26
-0.7	0.55594	-0.6133	29.27
-0.6	0.55594	-0.6133	29.27
-0.5	0.55594	-0.6133	29.27
-0.4	0.555612	-0.6139	29.25
-0.3	0.555776	-0.6136	29.26
-0.2	0.556105	-0.613	29.28
-0.1	0.555776	-0.6136	29.26
0.0	0.555612	-0.6139	29.25
0.1	0.555283	-0.6145	29.23
0.2	0.554954	-0.6151	29.2
0.3	0.553967	-0.6169	29.13
0.4	0.552816	-0.6191	29.05
0.5	0.551665	-0.6212	28.97
0.6	0.549362	-0.6255	28.8
0.7	0.547389	-0.6292	28.66
0.8	0.544593	-0.6345	28.47
0.9	0.541633	-0.6401	28.26
1.0	0.538672	-0.6457	28.05
1.1	0.535054	-0.6526	27.79
1.2	0.531272	-0.6599	27.52
1.3	0.527325	-0.6676	27.24
1.4	0.523213	-0.6756	26.95
1.5	0.518937	-0.6841	26.64
1.6	0.514661	-0.6926	26.34
1.7	0.510056	-0.7018	26.01
1.8	0.505452	-0.7112	25.69
1.9	0.500847	-0.7206	25.36
2.0	0.495913	-0.7308	25.01
2.1	0.491144	-0.7407	24.67
2.2	0.48621	-0.7511	24.32
2.3	0.480783	-0.7627	23.94
2.4	0.476013	-0.773	23.6
2.5	0.47108	-0.7837	23.25
2.6	0.466146	-0.7946	22.9
2.7	0.460225	-0.8078	22.48
2.8	0.45562	-0.8182	22.15
2.9	0.451016	-0.8286	21.82
3.0	0.446246	-0.8396	21.48
3.1	0.441148	-0.8515	21.12
3.2	0.43605	-0.8635	20.76
3.3	0.431281	-0.8749	20.42
3.4	0.426182	-0.8872	20.06
3.5	0.421249	-0.8993	19.71
3.6	0.416479	-0.911	19.37
3.7	0.411381	-0.9238	19.01
3.8	0.406612	-0.9359	18.67
3.9	0.401842	-0.9481	18.33
4.0	0.397073	-0.9605	17.99
4.1	0.392304	-0.9731	17.65
4.2	0.387699	-0.9853	17.33
4.3	0.383094	-0.9977	17
4.4	0.378654	-1.01	16.68
4.5	0.37372	-1.023	16.33
4.6	0.369608	-1.035	16.04
4.7	0.365004	-1.048	15.72
4.8	0.360728	-1.06	15.41
4.9	0.356616	-1.072	15.12
5.0	0.352505	-1.084	14.83
5.1	0.348229	-1.097	14.52
5.2	0.343953	-1.11	14.22
