Time (s)	P.D. (V)	linearized V	temp (°C)
-3.9	0.761514	-0.2819	43.87
-3.8	0.761021	-0.2812	43.83
-3.7	0.760856	-0.281	43.82
-3.6	0.760692	-0.2808	43.81
-3.5	0.760856	-0.281	43.82
-3.4	0.760527	-0.2806	43.8
-3.3	0.760198	-0.2801	43.77
-3.2	0.760034	-0.2799	43.76
-3.1	0.760034	-0.2799	43.76
-3.0	0.759705	-0.2795	43.74
-2.9	0.759541	-0.2793	43.73
-2.8	0.759541	-0.2793	43.73
-2.7	0.759212	-0.2788	43.7
-2.6	0.759212	-0.2788	43.7
-2.5	0.759047	-0.2786	43.69
-2.4	0.758718	-0.2782	43.67
-2.3	0.758718	-0.2782	43.67
-2.2	0.758554	-0.278	43.66
-2.1	0.758225	-0.2775	43.63
-2.0	0.758225	-0.2775	43.63
-1.9	0.75806	-0.2773	43.62
-1.8	0.758225	-0.2775	43.63
-1.7	0.757567	-0.2767	43.59
-1.6	0.757567	-0.2767	43.59
-1.5	0.757074	-0.276	43.55
-1.4	0.757403	-0.2764	43.58
-1.3	0.757074	-0.276	43.55
-1.2	0.756745	-0.2756	43.53
-1.1	0.756909	-0.2758	43.54
-1.0	0.756745	-0.2756	43.53
-0.9	0.756416	-0.2751	43.51
-0.8	0.755594	-0.2741	43.45
-0.7	0.756087	-0.2747	43.48
-0.6	0.755923	-0.2745	43.47
-0.5	0.755758	-0.2743	43.46
-0.4	0.755265	-0.2736	43.42
-0.3	0.755429	-0.2738	43.44
-0.2	0.755429	-0.2738	43.44
-0.1	0.755265	-0.2736	43.42
0.0	0.755594	-0.2741	43.45
0.1	0.756087	-0.2747	43.48
0.2	0.756745	-0.2756	43.53
0.3	0.758225	-0.2775	43.63
0.4	0.759541	-0.2793	43.73
0.5	0.761843	-0.2823	43.89
0.6	0.764803	-0.2862	44.1
0.7	0.767928	-0.2904	44.32
0.8	0.771875	-0.2957	44.6
0.9	0.775658	-0.3008	44.87
1.0	0.780427	-0.3073	45.21
1.1	0.785032	-0.3135	45.54
1.2	0.790294	-0.3208	45.91
1.3	0.795393	-0.3278	46.27
1.4	0.801313	-0.3361	46.69
1.5	0.807234	-0.3444	47.11
1.6	0.813319	-0.353	47.55
1.7	0.819404	-0.3617	47.98
1.8	0.825818	-0.371	48.43
1.9	0.832067	-0.3801	48.88
2.0	0.838645	-0.3897	49.34
2.1	0.845059	-0.3993	49.8
2.2	0.851638	-0.4091	50.27
2.3	0.858545	-0.4196	50.76
2.4	0.864959	-0.4294	51.21
2.5	0.871537	-0.4395	51.68
2.6	0.878444	-0.4503	52.17
2.7	0.885681	-0.4617	52.68
2.8	0.892095	-0.4719	53.14
2.9	0.898673	-0.4826	53.61
3.0	0.905251	-0.4933	54.07
3.1	0.911994	-0.5044	54.55
3.2	0.918901	-0.5159	55.04
3.3	0.92548	-0.527	55.51
3.4	0.932223	-0.5384	55.99
3.5	0.938308	-0.5489	56.42
3.6	0.94505	-0.5607	56.9
3.7	0.951793	-0.5725	57.38
3.8	0.958207	-0.584	57.83
3.9	0.964785	-0.5958	58.3
4.0	0.970706	-0.6067	58.72
4.1	0.977284	-0.6188	59.19
4.2	0.983205	-0.6298	59.61
4.3	0.989783	-0.6423	60.07
4.4	0.995868	-0.6539	60.51
4.5	1.00179	-0.6654	60.93
4.6	1.00771	-0.6769	61.35
4.7	1.01363	-0.6887	61.77
4.8	1.01955	-0.7005	62.19
4.9	1.02531	-0.7122	62.6
5.0	1.03123	-0.7243	63.02
5.1	1.03665	-0.7356	63.4
5.2	1.04208	-0.747	63.79
5.3	1.04767	-0.7588	64.18
5.4	1.05326	-0.7708	64.58
5.5	1.05836	-0.7819	64.94
5.6	1.06428	-0.795	65.36
5.7	1.06938	-0.8063	65.73
5.8	1.07497	-0.8189	66.12
5.9	1.07991	-0.8302	66.47
6.0	1.08533	-0.8427	66.86
6.1	1.09043	-0.8546	67.22
6.2	1.09553	-0.8667	67.58
6.3	1.10063	-0.8789	67.94
6.4	1.1054	-0.8904	68.28
6.5	1.11066	-0.9033	68.66
6.6	1.11576	-0.916	69.02
6.7	1.1202	-0.9271	69.33
6.8	1.1253	-0.9401	69.7
6.9	1.1299	-0.952	70.02
7.0	1.135	-0.9653	70.38
7.1	1.13928	-0.9766	70.69
7.2	1.14388	-0.9889	71.02
7.3	1.14832	-1.001	71.33
7.4	1.15309	-1.014	71.67
7.5	1.15753	-1.026	71.98
7.6	1.16181	-1.038	72.29
7.7	1.16625	-1.051	72.6
7.8	1.17036	-1.063	72.9
7.9	1.17464	-1.075	73.2
8.0	1.17875	-1.087	73.49
8.1	1.18302	-1.1	73.79
8.2	1.18681	-1.111	74.06
8.3	1.19092	-1.124	74.36
8.4	1.19519	-1.137	74.66
8.5	1.19898	-1.149	74.93
8.6	1.20259	-1.161	75.18
8.7	1.20654	-1.173	75.46
8.8	1.20999	-1.185	75.71
8.9	1.21378	-1.197	75.98
9.0	1.21739	-1.209	76.23
9.1	1.22134	-1.222	76.52
9.2	1.22463	-1.234	76.75
9.3	1.22825	-1.246	77.01
9.4	1.2317	-1.258	77.25
9.5	1.23516	-1.27	77.5
9.6	1.23828	-1.282	77.72
9.7	1.24173	-1.294	77.96
9.8	1.24502	-1.306	78.2
9.9	1.24815	-1.318	78.42
10.0	1.25127	-1.329	78.64
10.1	1.2544	-1.341	78.86
10.2	1.25736	-1.353	79.07
10.3	1.26048	-1.365	79.29
10.4	1.26344	-1.377	79.5
10.5	1.2664	-1.388	79.71
10.6	1.26936	-1.4	79.92
10.7	1.27216	-1.412	80.12
10.8	1.27496	-1.423	80.32
10.9	1.27759	-1.434	80.51
11.0	1.28022	-1.445	80.7
11.1	1.28334	-1.459	80.92
11.2	1.28548	-1.468	81.07
11.3	1.28861	-1.482	81.29
11.4	1.29124	-1.493	81.48
11.5	1.29387	-1.505	81.66
11.6	1.2965	-1.517	81.85
11.7	1.29897	-1.528	82.03
11.8	1.30143	-1.54	82.2
11.9	1.30406	-1.552	82.39
