Frequency	Amplitude
0	9.14E-05
0.1	4.51E-05
0.2	5.29E-08
0.3	3.85E-08
0.4	2.22E-09
0.5	1.86E-10
0.6	8.27E-10
0.7	2.59E-09
0.8	1.13E-09
0.9	4.93E-10
1	8.51E-10
1.1	8.94E-10
1.2	1.25E-09
1.3	9.84E-10
1.4	9.20E-10
1.5	1.61E-10
1.6	4.18E-10
1.7	7.65E-10
1.8	6.79E-10
1.9	3.53E-10
2	6.98E-11
2.1	1.10E-11
2.2	1.76E-10
2.3	6.57E-11
2.4	7.98E-11
2.5	2.04E-10
2.6	7.20E-11
2.7	4.54E-12
2.8	8.56E-11
2.9	5.28E-11
3	4.65E-10
3.1	3.88E-10
3.2	1.28E-11
3.3	8.17E-11
3.4	4.90E-10
3.5	1.28E-09
3.6	5.56E-10
3.7	2.77E-10
3.8	4.72E-10
3.9	9.91E-10
4	3.07E-10
4.1	2.44E-11
4.2	3.87E-10
4.3	3.84E-10
4.4	1.14E-10
4.5	4.73E-11
4.6	1.96E-10
4.7	7.74E-11
4.8	5.68E-10
4.9	7.85E-10
5	1.71E-10
5.1	5.31E-12
5.2	4.54E-11
5.3	5.04E-10
5.4	7.81E-10
5.5	3.47E-10
5.6	1.01E-10
5.7	6.55E-11
5.8	8.94E-11
5.9	4.95E-11
6	7.53E-11
6.1	1.53E-10
6.2	1.25E-10
6.3	2.02E-12
6.4	3.62E-11
6.5	4.07E-11
6.6	2.08E-11
6.7	4.34E-11
6.8	2.87E-11
6.9	1.06E-11
7	1.17E-10
7.1	1.32E-10
7.2	6.52E-10
7.3	7.90E-10
7.4	2.37E-10
7.5	3.11E-10
7.6	5.37E-10
7.7	6.98E-10
7.8	3.92E-10
7.9	1.39E-10
8	1.71E-10
8.1	4.69E-11
8.2	1.25E-09
8.3	1.32E-09
8.4	4.28E-10
8.5	2.17E-10
8.6	2.71E-10
8.7	5.34E-10
8.8	7.60E-10
8.9	2.68E-10
9	2.70E-10
9.1	9.20E-10
9.2	1.23E-09
9.3	1.34E-10
9.4	1.29E-11
9.5	1.57E-10
9.6	2.48E-10
9.7	1.85E-10
9.8	2.49E-08
9.9	2.10E-06
10	5.23E-06
10.1	7.44E-07
10.2	2.88E-08
10.3	1.16E-09
10.4	2.66E-10
10.5	2.74E-10
10.6	7.09E-11
10.7	1.18E-10
10.8	1.63E-10
10.9	4.40E-10
11	2.25E-11
11.1	3.02E-10
11.2	4.99E-12
11.3	3.97E-10
11.4	3.17E-11
11.5	1.31E-10
11.6	1.57E-10
11.7	2.69E-11
11.8	1.61E-10
11.9	6.92E-11
12	9.63E-13
12.1	1.46E-11
12.2	6.95E-11
12.3	5.08E-11
12.4	7.32E-11
12.5	2.33E-10
12.6	8.18E-11
12.7	1.46E-10
12.8	2.19E-10
12.9	6.07E-11
13	1.49E-10
13.1	3.23E-12
13.2	2.63E-10
13.3	8.33E-11
13.4	3.02E-10
13.5	3.78E-10
13.6	1.21E-10
13.7	8.12E-11
13.8	4.25E-11
13.9	6.05E-11
14	1.66E-10
14.1	5.78E-11
14.2	1.44E-10
14.3	1.13E-10
14.4	1.76E-10
14.5	3.43E-10
14.6	1.66E-10
14.7	1.81E-10
14.8	3.39E-11
14.9	5.13E-11
15	1.46E-10
15.1	2.05E-11
15.2	1.78E-10
15.3	2.63E-10
15.4	2.34E-12
15.5	4.38E-11
15.6	9.72E-11
15.7	1.60E-10
15.8	6.56E-11
15.9	1.17E-10
16	9.92E-11
16.1	2.07E-10
16.2	1.22E-10
16.3	3.57E-10
16.4	1.77E-10
16.5	1.37E-10
16.6	7.10E-11
16.7	6.96E-11
16.8	2.64E-10
16.9	4.45E-10
17	7.20E-11
17.1	8.40E-11
17.2	1.04E-10
17.3	3.09E-10
17.4	4.70E-10
17.5	5.45E-10
17.6	8.32E-10
17.7	4.22E-10
17.8	1.94E-10
17.9	1.73E-11
18	2.75E-11
18.1	2.10E-10
18.2	9.92E-11
18.3	9.41E-11
18.4	2.00E-10
18.5	8.28E-10
18.6	2.19E-10
18.7	1.07E-09
18.8	1.23E-09
18.9	1.16E-09
19	2.03E-09
19.1	3.70E-09
19.2	5.82E-09
19.3	1.12E-08
19.4	3.31E-08
19.5	9.12E-08
19.6	3.95E-07
19.7	1.72E-06
19.8	3.16E-05
19.9	0.0961105
20	0.454367
20.1	0.133579
20.2	4.56E-05
20.3	2.22E-06
20.4	5.35E-07
20.5	8.99E-08
20.6	3.06E-08
20.7	1.62E-08
20.8	5.71E-09
20.9	5.54E-09
21	1.75E-09
21.1	3.81E-10
21.2	1.86E-09
21.3	1.95E-11
21.4	5.80E-10
21.5	3.87E-10
21.6	2.69E-10
21.7	1.83E-10
21.8	3.28E-10
21.9	2.09E-10
22	2.30E-10
22.1	3.63E-11
22.2	3.31E-10
22.3	1.48E-10
22.4	7.16E-11
22.5	4.51E-11
22.6	5.66E-12
22.7	8.79E-11
22.8	5.64E-10
22.9	4.11E-10
23	4.13E-11
23.1	1.48E-10
23.2	1.42E-10
23.3	9.52E-11
23.4	4.88E-10
23.5	7.47E-10
23.6	3.74E-10
23.7	4.06E-12
23.8	2.91E-10
23.9	4.58E-10
24	4.40E-10
24.1	4.43E-10
24.2	1.69E-10
24.3	1.05E-11
24.4	2.99E-11
24.5	3.86E-11
24.6	6.64E-11
24.7	1.00E-10
24.8	1.78E-10
24.9	2.55E-11
