Time	Amplitude
0	0.9513
0.02	-0.856598
0.04	0.475191
0.06	0.117493
0.08	-0.637703
0.1	0.950477
0.12	-0.858078
0.14	0.478316
0.16	0.11371
0.18	-0.634414
0.2	0.949491
0.22	-0.859887
0.24	0.481934
0.26	0.109434
0.28	-0.631618
0.3	0.948833
0.32	-0.861367
0.34	0.485552
0.36	0.105323
0.38	-0.628493
0.4	0.947517
0.42	-0.862847
0.44	0.489006
0.46	0.101705
0.48	-0.625697
0.5	0.946695
0.52	-0.864821
0.54	0.492459
0.56	0.0972645
0.58	-0.622408
0.6	0.945873
0.62	-0.866465
0.64	0.495748
0.66	0.0933174
0.68	-0.619283
0.7	0.944886
0.72	-0.86811
0.74	0.499202
0.76	0.088877
0.78	-0.616323
0.8	0.943735
0.82	-0.86959
0.84	0.502491
0.86	0.08493
0.88	-0.613527
0.9	0.943077
0.92	-0.87107
0.94	0.505945
0.96	0.0811475
0.98	-0.610074
1	0.941761
1.02	-0.872221
1.04	0.50907
1.06	0.0775294
1.08	-0.607607
1.1	0.941268
1.12	-0.873866
1.14	0.512194
1.16	0.0732534
1.18	-0.604811
1.2	0.940281
1.22	-0.875182
1.24	0.515484
1.26	0.0696353
1.28	-0.601522
1.3	0.938965
1.32	-0.876662
1.34	0.518773
1.36	0.0658528
1.38	-0.598561
1.4	0.938143
1.42	-0.877813
1.44	0.521733
1.46	0.0620702
1.48	-0.595601
1.5	0.937156
1.52	-0.879458
1.54	0.524858
1.56	0.0584521
1.58	-0.59297
1.6	0.93617
1.62	-0.880609
1.64	0.527489
1.66	0.054834
1.68	-0.590503
1.7	0.934689
1.72	-0.88176
1.74	0.530943
1.76	0.050887
1.78	-0.587378
1.8	0.934032
1.82	-0.88324
1.84	0.533903
1.86	0.0474334
1.88	-0.584582
1.9	0.933538
1.92	-0.884227
1.94	0.536863
1.96	0.0439798
1.98	-0.581622
2	0.931894
2.02	-0.885214
2.04	0.539823
2.06	0.0406906
2.08	-0.578662
2.1	0.931729
2.12	-0.886858
2.14	0.542784
2.16	0.036908
2.18	-0.575702
2.2	0.930742
2.22	-0.888174
2.24	0.545908
2.26	0.0332899
2.28	-0.572741
2.3	0.929756
2.32	-0.889161
2.34	0.548869
2.36	0.0300007
2.38	-0.569946
2.4	0.92844
2.42	-0.890312
2.44	0.551829
2.46	0.0262182
2.48	-0.566985
2.5	0.927618
2.52	-0.891463
2.54	0.554954
2.56	0.022929
2.58	-0.563696
2.6	0.926138
2.62	-0.892285
2.64	0.557749
2.66	0.0194754
2.68	-0.561394
2.7	0.92548
2.72	-0.893437
2.74	0.560545
2.76	0.0160217
2.78	-0.558598
2.8	0.924493
2.82	-0.894259
2.84	0.563341
2.86	0.0125681
2.88	-0.555638
2.9	0.923342
2.92	-0.89541
2.94	0.566137
2.96	0.00895
2.98	-0.553171
3	0.922026
3.02	-0.896397
3.04	0.568768
3.06	0.00598974
3.08	-0.550046
3.1	0.921039
3.12	-0.897713
3.14	0.571893
3.16	0.00302947
3.18	-0.546921
3.2	0.920217
3.22	-0.89837
3.24	0.574524
3.26	-0.000588622
3.28	-0.544454
3.3	0.918901
3.32	-0.899522
3.34	0.577156
3.36	-0.00437118
3.38	-0.541494
3.4	0.917915
3.42	-0.89985
3.44	0.579951
3.46	-0.0074959
3.48	-0.538863
3.5	0.916599
3.52	-0.901495
3.54	0.582747
3.56	-0.0109495
3.58	-0.536396
3.6	0.915283
3.62	-0.902317
3.64	0.585379
3.66	-0.0144032
3.68	-0.533271
3.7	0.914461
3.72	-0.902811
3.74	0.58801
3.76	-0.017199
3.78	-0.53064
3.8	0.913474
3.82	-0.903798
3.84	0.590641
3.86	-0.0209815
3.88	-0.528337
3.9	0.912159
3.92	-0.904949
3.94	0.593273
3.96	-0.0241063
3.98	-0.525377
4	0.911007
4.02	-0.905771
4.04	0.595904
4.06	-0.0277243
4.08	-0.523404
4.1	0.909363
4.12	-0.907251
4.14	0.598371
4.16	-0.0313424
4.18	-0.51995
4.2	0.908212
4.22	-0.907909
4.24	0.601167
4.26	-0.0346316
4.28	-0.517154
4.3	0.906896
4.32	-0.909225
4.34	0.604127
4.36	-0.0384142
4.38	-0.514523
4.4	0.905909
4.42	-0.910211
4.44	0.606758
4.46	-0.0417034
4.48	-0.511563
4.5	0.904429
4.52	-0.910869
4.54	0.609225
4.56	-0.045157
4.58	-0.508931
4.6	0.902949
4.62	-0.911856
4.64	0.612021
4.66	-0.0487751
4.68	-0.505971
4.7	0.901633
4.72	-0.912678
4.74	0.614652
4.76	-0.0522287
4.78	-0.503504
4.8	0.900482
4.82	-0.91383
4.84	0.617284
4.86	-0.055189
4.88	-0.500873
4.9	0.899002
4.92	-0.914487
4.94	0.619751
4.96	-0.0588071
4.98	-0.498241
5	0.897851
5.02	-0.915474
5.04	0.622382
5.06	-0.0624252
5.08	-0.494952
5.1	0.896699
5.12	-0.915803
5.14	0.625013
5.16	-0.0658788
5.18	-0.49265
5.2	0.895055
5.22	-0.916296
5.24	0.627645
5.26	-0.0688391
5.28	-0.490183
5.3	0.893904
5.32	-0.917448
5.34	0.630605
5.36	-0.0719638
5.38	-0.487058
5.4	0.892259
5.42	-0.918105
5.44	0.633072
5.46	-0.0750885
5.48	-0.483769
5.5	0.891437
5.52	-0.918928
5.54	0.63521
5.56	-0.0787066
5.58	-0.481631
5.6	0.889957
5.62	-0.919914
5.64	0.637841
5.66	-0.0818313
5.68	-0.479
5.7	0.888641
5.72	-0.920737
5.74	0.63965
5.76	-0.0847916
5.78	-0.476697
5.8	0.887325
5.82	-0.921066
5.84	0.642117
5.86	-0.0882452
5.88	-0.473902
5.9	0.886174
5.92	-0.922052
5.94	0.644584
5.96	-0.09137
5.98	-0.47127
6	0.885023
6.02	-0.922052
6.04	0.64738
6.06	-0.0938368
6.08	-0.468639
6.1	0.883543
6.12	-0.92271
6.14	0.649518
6.16	-0.0974549
6.18	-0.46535
6.2	0.882227
6.22	-0.923204
6.24	0.651984
6.26	-0.100251
6.28	-0.462718
6.3	0.881405
6.32	-0.923862
6.34	0.654616
6.36	-0.103047
6.38	-0.460251
6.4	0.87976
6.42	-0.924519
6.44	0.657247
6.46	-0.106336
