Frequency [Hz]	Amplitude
0	9.54E-05
0.1	4.79E-05
0.2	1.03E-10
0.3	4.08E-11
0.4	1.54E-11
0.5	8.73E-12
0.6	2.13E-12
0.7	4.44E-12
0.8	7.70E-12
0.9	1.47E-11
1	9.45E-12
1.1	8.03E-12
1.2	4.06E-11
1.3	1.03E-10
1.4	8.77E-11
1.5	2.32E-11
1.6	1.07E-11
1.7	3.49E-12
1.8	1.56E-11
1.9	1.80E-11
2	5.29E-12
2.1	4.41E-11
2.2	1.25E-10
2.3	1.12E-11
2.4	2.83E-11
2.5	1.79E-11
2.6	1.59E-11
2.7	4.89E-10
2.8	8.23E-10
2.9	8.35E-11
3	2.28E-11
3.1	2.67E-11
3.2	1.08E-12
3.3	9.31E-12
3.4	1.06E-11
3.5	2.72E-12
3.6	1.14E-11
3.7	5.94E-11
3.8	6.26E-11
3.9	1.75E-11
4	1.37E-11
4.1	1.83E-11
4.2	4.58E-11
4.3	1.85E-11
4.4	2.38E-11
4.5	1.62E-11
4.6	2.20E-11
4.7	8.03E-12
4.8	2.38E-12
4.9	7.78E-12
5	1.61E-11
5.1	1.80E-11
5.2	1.52E-12
5.3	1.08E-11
5.4	4.95E-12
5.5	4.17E-11
5.6	1.35E-11
5.7	1.06E-11
5.8	4.09E-11
5.9	2.84E-11
6	3.13E-11
6.1	3.36E-11
6.2	9.08E-12
6.3	6.73E-12
6.4	2.56E-12
6.5	2.53E-12
6.6	1.10E-11
6.7	7.88E-11
6.8	1.11E-10
6.9	4.33E-11
7	1.67E-12
7.1	8.51E-12
7.2	9.89E-12
7.3	1.19E-11
7.4	4.32E-12
7.5	1.07E-11
7.6	1.72E-11
7.7	6.65E-12
7.8	3.15E-12
7.9	3.39E-11
8	1.91E-11
8.1	3.43E-12
8.2	5.07E-12
8.3	5.60E-11
8.4	3.71E-11
8.5	1.70E-11
8.6	2.62E-12
8.7	1.64E-11
8.8	9.75E-12
8.9	8.18E-13
9	2.00E-12
9.1	9.20E-12
9.2	6.30E-11
9.3	3.24E-11
9.4	4.69E-13
9.5	6.73E-12
9.6	2.41E-12
9.7	6.31E-12
9.8	4.76E-12
9.9	1.95E-11
10	2.67E-11
10.1	4.65E-11
10.2	6.61E-11
10.3	1.36E-11
10.4	1.29E-11
10.5	1.31E-11
10.6	6.47E-11
10.7	8.02E-11
10.8	8.95E-11
10.9	4.28E-11
11	1.48E-12
11.1	3.10E-12
11.2	3.39E-12
11.3	1.29E-12
11.4	3.79E-11
11.5	1.94E-11
11.6	9.75E-12
11.7	4.57E-12
11.8	1.01E-11
11.9	2.93E-11
12	3.37E-11
12.1	5.81E-12
12.2	3.57E-11
12.3	9.17E-11
12.4	5.30E-11
12.5	4.59E-11
12.6	2.23E-11
12.7	9.46E-12
12.8	9.26E-12
12.9	7.13E-12
13	1.93E-13
13.1	4.04E-11
13.2	5.92E-11
13.3	1.33E-11
13.4	2.70E-11
13.5	4.76E-11
13.6	4.05E-11
13.7	5.48E-12
13.8	1.14E-11
13.9	2.51E-11
