Frequency	Amplitude
0	5.86E-06
0.2	3.09E-06
0.4	3.15E-09
0.6	3.19E-09
0.8	3.61E-09
1	3.61E-09
1.2	3.94E-09
1.4	4.74E-09
1.6	5.46E-09
1.8	4.09E-09
2	3.86E-09
2.2	2.34E-09
2.4	2.37E-09
2.6	6.02E-09
2.8	5.59E-09
3	2.60E-09
3.2	1.64E-09
3.4	1.97E-09
3.6	2.21E-09
3.8	2.16E-09
4	2.86E-09
4.2	7.96E-10
4.4	5.99E-09
4.6	2.91E-09
4.8	2.19E-09
5	4.33E-09
5.2	4.41E-09
5.4	5.41E-09
5.6	4.81E-09
5.8	4.47E-09
6	2.99E-09
6.2	3.26E-09
6.4	1.61E-09
6.6	1.60E-09
6.8	8.07E-10
7	5.44E-10
7.2	1.42E-10
7.4	5.22E-10
7.6	3.23E-10
7.8	6.40E-10
8	1.10E-09
8.2	1.05E-09
8.4	1.68E-09
8.6	1.67E-09
8.8	1.89E-09
9	2.03E-09
9.2	2.37E-09
9.4	2.69E-09
9.6	3.47E-09
9.8	4.92E-09
10	5.42E-09
10.2	3.69E-09
10.4	4.34E-09
10.6	3.58E-09
10.8	4.49E-09
11	5.25E-09
11.2	4.86E-09
11.4	5.39E-09
11.6	5.55E-09
11.8	5.23E-09
12	4.00E-09
12.2	2.86E-09
12.4	1.26E-09
12.6	5.85E-10
12.8	8.24E-10
13	1.42E-09
13.2	1.01E-09
13.4	4.55E-10
13.6	1.25E-11
13.8	1.11E-10
14	1.17E-09
14.2	2.21E-09
14.4	2.71E-09
14.6	3.78E-09
14.8	3.16E-09
15	3.21E-09
15.2	2.25E-09
15.4	2.09E-09
15.6	1.37E-09
15.8	6.29E-10
16	6.49E-10
16.2	7.90E-10
16.4	1.97E-09
16.6	1.40E-09
16.8	2.00E-09
17	2.28E-09
17.2	2.71E-09
17.4	4.32E-09
17.6	6.45E-09
17.8	9.06E-09
18	1.00E-08
18.2	1.41E-08
18.4	1.45E-08
18.6	2.00E-08
18.8	1.62E-08
19	1.17E-08
19.2	1.05E-08
19.4	8.02E-09
19.6	2.96E-09
19.8	2.79E-10
20	1.02E-09
20.2	4.25E-09
20.4	1.07E-08
20.6	1.41E-08
20.8	1.95E-08
21	2.43E-08
21.2	2.16E-08
21.4	2.50E-08
21.6	2.65E-08
21.8	3.27E-08
22	3.34E-08
22.2	3.78E-08
22.4	4.23E-08
22.6	5.22E-08
22.8	5.79E-08
23	6.12E-08
23.2	5.74E-08
23.4	5.30E-08
23.6	4.63E-08
23.8	3.68E-08
24	2.34E-08
24.2	1.28E-08
24.4	3.64E-09
24.6	5.93E-12
24.8	1.49E-09
25	9.75E-10
25.2	1.72E-09
25.4	1.42E-09
25.6	6.41E-10
25.8	1.57E-10
26	1.19E-10
26.2	5.48E-12
26.4	3.40E-10
26.6	7.82E-10
26.8	1.55E-09
27	2.55E-09
27.2	3.65E-09
27.4	5.62E-09
27.6	9.47E-09
27.8	1.38E-08
28	3.24E-08
28.2	7.68E-08
28.4	1.82E-07
28.6	3.99E-07
28.8	1.02E-06
29	3.96E-06
29.2	7.43E-06
29.4	4.85E-06
29.6	1.81E-06
29.8	6.08E-07
30	2.76E-07
30.2	1.31E-07
30.4	6.70E-08
30.6	3.82E-08
30.8	1.76E-08
31	7.93E-09
31.2	2.35E-09
31.4	1.85E-09
31.6	4.37E-09
31.8	7.23E-09
32	1.63E-08
32.2	1.72E-08
32.4	1.90E-08
32.6	1.74E-08
32.8	1.79E-08
33	2.40E-08
33.2	2.61E-08
