Time	Amplitude
0	0.00237164
0.001	0.00270056
0.002	0.00270056
0.003	0.00220718
0.004	0.00237164
0.005	0.0025361
0.006	0.00286502
0.007	0.00237164
0.008	0.00237164
0.009	0.00237164
0.01	0.00286502
0.011	0.00286502
0.012	0.00237164
0.013	0.00237164
0.014	0.00204272
0.015	0.00237164
0.016	0.0025361
0.017	0.00286502
0.018	0.0025361
0.019	0.00237164
0.02	0.00204272
0.021	0.0025361
0.022	0.0025361
0.023	0.00270056
0.024	0.00237164
0.025	0.00204272
0.026	0.0025361
0.027	0.00302947
0.028	0.00270056
0.029	0.00187826
0.03	0.00204272
0.031	0.00286502
0.032	0.00286502
0.033	0.00237164
0.034	0.00204272
0.035	0.0025361
0.036	0.00302947
0.037	0.00286502
0.038	0.00270056
0.039	0.00220718
0.04	0.00237164
0.041	0.00319393
0.042	0.00302947
0.043	0.00220718
0.044	0.0025361
0.045	0.00270056
0.046	0.00286502
0.047	0.00270056
0.048	0.00204272
0.049	0.00204272
0.05	0.0025361
0.051	0.00270056
0.052	0.00237164
0.053	0.00220718
0.054	0.00270056
0.055	0.00270056
0.056	0.00286502
0.057	0.0025361
0.058	0.00237164
0.059	0.00220718
0.06	0.00237164
0.061	0.00270056
0.062	0.0025361
0.063	0.00220718
0.064	0.00220718
0.065	0.00220718
0.066	0.00220718
0.067	0.00270056
0.068	0.0025361
0.069	0.00220718
0.07	0.00220718
0.071	0.00286502
0.072	0.00270056
0.073	0.0025361
0.074	0.00220718
0.075	0.0025361
0.076	0.00302947
0.077	0.00302947
0.078	0.00220718
0.079	0.0025361
0.08	0.00220718
0.081	0.00270056
0.082	0.00270056
0.083	0.00237164
0.084	0.00237164
0.085	0.00237164
0.086	0.00270056
0.087	0.00302947
0.088	0.00187826
0.089	0.00237164
0.09	0.0025361
0.091	0.00286502
0.092	0.0025361
0.093	0.00187826
0.094	0.0025361
0.095	0.00270056
0.096	0.00286502
0.097	0.0025361
0.098	0.00220718
0.099	0.00204272
0.1	0.0025361
0.101	0.0025361
0.102	0.00237164
0.103	0.00220718
0.104	0.00237164
0.105	0.0025361
0.106	0.00270056
0.107	0.00286502
0.108	0.00237164
0.109	0.0025361
0.11	0.0025361
0.111	0.00270056
0.112	0.00270056
0.113	0.00237164
0.114	0.00220718
0.115	0.00220718
0.116	0.0025361
0.117	0.00286502
0.118	0.00220718
0.119	0.00220718
0.12	0.00220718
0.121	0.00302947
0.122	0.00319393
0.123	0.00220718
0.124	0.00220718
0.125	0.0025361
0.126	0.00335839
0.127	0.0025361
0.128	0.00204272
0.129	0.00220718
0.13	0.00270056
0.131	0.00286502
0.132	0.0025361
0.133	0.00187826
0.134	0.0025361
0.135	0.0025361
0.136	0.0025361
0.137	0.00270056
0.138	0.00204272
0.139	0.0025361
0.14	0.00286502
0.141	0.00270056
0.142	0.00237164
0.143	0.00220718
0.144	0.00220718
0.145	0.0025361
0.146	0.00237164
0.147	0.00220718
0.148	0.00237164
0.149	0.00204272
0.15	0.00237164
0.151	0.0025361
0.152	0.0025361
0.153	0.00187826
0.154	0.00187826
0.155	0.00237164
0.156	0.00302947
0.157	0.0025361
0.158	0.00237164
0.159	0.00220718
0.16	0.0025361
0.161	0.00270056
0.162	0.00270056
0.163	0.0017138
0.164	0.00187826
0.165	0.00220718
0.166	0.00270056
0.167	0.00237164
0.168	0.00204272
0.169	0.00220718
0.17	0.00286502
0.171	0.0025361
0.172	0.0025361
0.173	0.00187826
0.174	0.0025361
0.175	0.00270056
0.176	0.00302947
0.177	0.00220718
0.178	0.00204272
0.179	0.0025361
0.18	0.00270056
0.181	0.00270056
0.182	0.00237164
0.183	0.00204272
0.184	0.0025361
0.185	0.00270056
0.186	0.00270056
0.187	0.00286502
0.188	0.00220718
0.189	0.00237164
0.19	0.0025361
0.191	0.00270056
0.192	0.0025361
0.193	0.00220718
0.194	0.00204272
0.195	0.0025361
0.196	0.00270056
0.197	0.00286502
0.198	0.00204272
0.199	0.00220718
0.2	0.00286502
0.201	0.00270056
0.202	0.00270056
0.203	0.00220718
0.204	0.0017138
0.205	0.00270056
0.206	0.00286502
0.207	0.00270056
0.208	0.00237164
0.209	0.00220718
0.21	0.00237164
0.211	0.00302947
0.212	0.0025361
0.213	0.00187826
