Time - Dev1/ai10	Amplitude - Dev1/ai10
0	1.08879
0.0001	1.08583
0.0002	1.08352
0.0003	1.08188
0.0004	1.07892
0.0005	1.07612
0.0006	1.07399
0.0007	1.07119
0.0008	1.06741
0.0009	1.06461
0.001	1.06132
0.0011	1.05721
0.0012	1.05392
0.0013	1.04981
0.0014	1.0457
0.0015	1.04142
0.0016	1.03731
0.0017	1.03221
0.0018	1.02744
0.0019	1.023
0.002	1.01708
0.0021	1.01231
0.0022	1.00705
0.0023	1.00097
0.0024	0.995704
0.0025	0.990277
0.0026	0.984192
0.0027	0.977778
0.0028	0.971857
0.0029	0.965114
0.003	0.958207
0.0031	0.952451
0.0032	0.945544
0.0033	0.938143
0.0034	0.931729
0.0035	0.924493
0.0036	0.91627
0.0037	0.909363
0.0038	0.901469
0.0039	0.893246
0.004	0.885352
0.0041	0.877293
0.0042	0.868577
0.0043	0.860683
0.0044	0.85246
0.0045	0.84325
0.0046	0.834698
0.0047	0.826311
0.0048	0.816608
0.0049	0.807563
0.005	0.798682
0.0051	0.78865
0.0052	0.778947
0.0053	0.769902
0.0054	0.759541
0.0055	0.749509
0.0056	0.740134
0.0057	0.729445
0.0058	0.718919
0.0059	0.708558
0.006	0.697704
0.0061	0.686685
0.0062	0.67616
0.0063	0.665141
0.0064	0.6533
0.0065	0.64261
0.0066	0.63192
0.0067	0.620244
0.0068	0.609225
0.0069	0.598206
0.007	0.586201
0.0071	0.575018
0.0072	0.563834
0.0073	0.5515
0.0074	0.539988
0.0075	0.528969
0.0076	0.51647
0.0077	0.504629
0.0078	0.492624
0.0079	0.47996
0.008	0.467626
0.0081	0.455785
0.0082	0.443122
0.0083	0.430129
0.0084	0.417795
0.0085	0.405461
0.0086	0.39181
0.0087	0.379969
0.0088	0.367306
0.0089	0.354314
0.009	0.341815
0.0091	0.329316
0.0092	0.31583
0.0093	0.303496
0.0094	0.290504
0.0095	0.277347
0.0096	0.265177
0.0097	0.252349
0.0098	0.238864
0.0099	0.226365
0.01	0.213537
0.0101	0.199722
0.0102	0.186895
0.0103	0.173573
0.0104	0.159923
0.0105	0.146602
0.0106	0.133445
0.0107	0.119466
0.0108	0.105816
0.0109	0.0929885
0.011	0.0785161
0.0111	0.0647016
0.0112	0.0515449
0.0113	0.0375659
0.0114	0.0235868
0.0115	0.0101012
0.0116	-0.00338442
0.0117	-0.0175279
0.0118	-0.0308491
0.0119	-0.0444992
0.012	-0.0586426
0.0121	-0.0717993
0.0122	-0.085285
0.0123	-0.099264
0.0124	-0.11275
0.0125	-0.1264
0.0126	-0.140379
0.0127	-0.153864
0.0128	-0.166857
0.0129	-0.180178
0.013	-0.193828
0.0131	-0.206162
0.0132	-0.219483
0.0133	-0.232805
0.0134	-0.245304
0.0135	-0.258789
0.0136	-0.271781
0.0137	-0.283951
0.0138	-0.296779
0.0139	-0.309936
0.014	-0.322435
0.0141	-0.335098
0.0142	-0.34809
0.0143	-0.360754
0.0144	-0.372924
0.0145	-0.38608
0.0146	-0.398579
0.0147	-0.410749
0.0148	-0.423577
0.0149	-0.435912
0.015	-0.447917
0.0151	-0.461074
0.0152	-0.472915
0.0153	-0.484591
0.0154	-0.49709
0.0155	-0.509589
0.0156	-0.520772
0.0157	-0.532778
0.0158	-0.544454
0.0159	-0.554815
0.016	-0.566656
0.0161	-0.578497
0.0162	-0.589187
0.0163	-0.600699
0.0164	-0.612047
0.0165	-0.622737
0.0166	-0.633756
0.0167	-0.645103
0.0168	-0.655958
0.0169	-0.666319
0.017	-0.677666
0.0171	-0.687698
0.0172	-0.697895
0.0173	-0.708914
0.0174	-0.718781
0.0175	-0.728484
0.0176	-0.738681
0.0177	-0.748055
0.0178	-0.7571
0.0179	-0.767132
0.018	-0.776177
0.0181	-0.784894
0.0182	-0.794926
0.0183	-0.803806
0.0184	-0.8117
0.0185	-0.820581
0.0186	-0.829462
0.0187	-0.836863
0.0188	-0.845743
0.0189	-0.854131
0.019	-0.861696
0.0191	-0.869097
0.0192	-0.876826
0.0193	-0.884062
0.0194	-0.891463
0.0195	-0.899686
0.0196	-0.9061
0.0197	-0.912349
0.0198	-0.919914
0.0199	-0.926164
0.02	-0.932413
0.0201	-0.938992
0.0202	-0.944419
0.0203	-0.950504
0.0204	-0.957082
0.0205	-0.962674
0.0206	-0.967443
0.0207	-0.973364
0.0208	-0.97912
0.0209	-0.983231
0.021	-0.988658
0.0211	-0.993757
0.0212	-0.998526
0.0213	-1.00313
0.0214	-1.00741
0.0215	-1.01135
0.0216	-1.01563
0.0217	-1.01974
0.0218	-1.02352
0.0219	-1.02714
0.022	-1.03092
0.0221	-1.03388
0.0222	-1.03684
0.0223	-1.04046
0.0224	-1.0426
0.0225	-1.0449
0.0226	-1.04819
0.0227	-1.05033
0.0228	-1.05214
0.0229	-1.05526
0.023	-1.05724
0.0231	-1.05855
0.0232	-1.06135
0.0233	-1.06299
0.0234	-1.06415
0.0235	-1.06628
0.0236	-1.06826
0.0237	-1.06908
0.0238	-1.07089
0.0239	-1.07286
0.024	-1.07335
0.0241	-1.07286
0.0242	-1.07187
0.0243	-1.07039
0.0244	-1.06842
0.0245	-1.06743
0.0246	-1.06546
0.0247	-1.06349
0.0248	-1.06234
0.0249	-1.06003
0.025	-1.0579
0.0251	-1.05658
0.0252	-1.05395
0.0253	-1.05132
0.0254	-1.04918
0.0255	-1.04721
0.0256	-1.04408
0.0257	-1.04129
0.0258	-1.03898
0.0259	-1.03487
0.026	-1.03208
0.0261	-1.02895
0.0262	-1.025
0.0263	-1.02155
0.0264	-1.0176
0.0265	-1.01366
0.0266	-1.00922
0.0267	-1.00543
0.0268	-1.00034
0.0269	-0.995566
0.027	-0.991125
0.0271	-0.985698
0.0272	-0.980435
0.0273	-0.975995
0.0274	-0.970075
0.0275	-0.964154
0.0276	-0.959385
0.0277	-0.952971
0.0278	-0.946557
0.0279	-0.941459
0.028	-0.93488
0.0281	-0.928137
0.0282	-0.921888
0.0283	-0.915145
0.0284	-0.907909
0.0285	-0.901331
0.0286	-0.894259
0.0287	-0.8862
0.0288	-0.879129
0.0289	-0.871892
0.029	-0.863834
0.0291	-0.85594
0.0292	-0.848375
0.0293	-0.839987
0.0294	-0.831929
0.0295	-0.823541
0.0296	-0.814825
0.0297	-0.80578
0.0298	-0.797557
0.0299	-0.788676
0.03	-0.778809
0.0301	-0.770257
0.0302	-0.760554
0.0303	-0.750686
0.0304	-0.741641
0.0305	-0.731773
0.0306	-0.721412
0.0307	-0.711874
0.0308	-0.701677
0.0309	-0.690494
0.031	-0.680462
0.0311	-0.670101
0.0312	-0.658753
0.0313	-0.648228
0.0314	-0.637538
0.0315	-0.626026
0.0316	-0.615172
0.0317	-0.604153
0.0318	-0.592805
0.0319	-0.581622
0.032	-0.570603
0.0321	-0.559256
0.0322	-0.547579
0.0323	-0.53656
0.0324	-0.524226
0.0325	-0.512714
0.0326	-0.500873
0.0327	-0.489196
0.0328	-0.477026
0.0329	-0.464692
0.033	-0.452357
0.0331	-0.43953
0.0332	-0.427195
0.0333	-0.415025
0.0334	-0.401704
0.0335	-0.389699
0.0336	-0.377035
0.0337	-0.364372
0.0338	-0.351709
0.0339	-0.339374
0.034	-0.326053
0.0341	-0.313883
0.0342	-0.301549
0.0343	-0.288392
0.0344	-0.2754
0.0345	-0.263065
0.0346	-0.250073
0.0347	-0.236916
0.0348	-0.224417
0.0349	-0.210932
0.035	-0.197939
0.0351	-0.185276
0.0352	-0.171461
0.0353	-0.157811
0.0354	-0.144984
0.0355	-0.131498
0.0356	-0.116861
0.0357	-0.104033
0.0358	-0.0903832
0.0359	-0.0762397
0.036	-0.0632475
0.0361	-0.0494329
0.0362	-0.0354539
0.0363	-0.0218038
0.0364	-0.00864711
0.0365	0.00549636
0.0366	0.0193109
0.0367	0.0326321
0.0368	0.04694
0.0369	0.0605901
0.037	0.0735824
0.0371	0.0873969
0.0372	0.101376
0.0373	0.114368
0.0374	0.128347
0.0375	0.142162
0.0376	0.155154
0.0377	0.168804
0.0378	0.18229
0.0379	0.195611
0.038	0.208603
0.0381	0.222089
0.0382	0.234588
0.0383	0.247251
0.0384	0.260901
0.0385	0.273236
0.0386	0.286063
0.0387	0.299549
0.0388	0.312212
0.0389	0.324382
0.039	0.337375
0.0391	0.350367
0.0392	0.362866
0.0393	0.375365
0.0394	0.388192
0.0395	0.400033
0.0396	0.41319
0.0397	0.426018
0.0398	0.438352
0.0399	0.450851
0.04	0.463843
0.0401	0.47552
0.0402	0.488512
0.0403	0.500682
0.0404	0.512359
0.0405	0.524364
0.0406	0.536205
0.0407	0.547882
0.0408	0.559065
0.0409	0.5714
0.041	0.582254
0.0411	0.593273
0.0412	0.605607
0.0413	0.616461
0.0414	0.626987
0.0415	0.638663
0.0416	0.649846
0.0417	0.660536
0.0418	0.672048
0.0419	0.683067
0.042	0.693099
0.0421	0.704118
0.0422	0.715466
0.0423	0.725004
0.0424	0.736023
0.0425	0.746219
0.0426	0.755429
0.0427	0.765297
0.0428	0.775658
0.0429	0.785032
0.043	0.793913
0.0431	0.803616
0.0432	0.813319
0.0433	0.821871
0.0434	0.831574
0.0435	0.84029
0.0436	0.848513
0.0437	0.857723
0.0438	0.865946
0.0439	0.87384
0.044	0.882227
0.0441	0.890285
0.0442	0.897686
0.0443	0.905745
0.0444	0.913474
0.0445	0.920217
0.0446	0.928111
0.0447	0.935841
0.0448	0.941926
0.0449	0.949326
0.045	0.955905
0.0451	0.96199
0.0452	0.968568
0.0453	0.975475
0.0454	0.981067
0.0455	0.986823
0.0456	0.993401
0.0457	0.998993
0.0458	1.00393
0.0459	1.01018
0.046	1.01511
0.0461	1.01971
0.0462	1.02514
0.0463	1.03024
0.0464	1.03435
0.0465	1.03912
0.0466	1.04373
0.0467	1.04784
0.0468	1.05211
0.0469	1.0554
0.047	1.05869
0.0471	1.06264
0.0472	1.06609
0.0473	1.06856
0.0474	1.07218
0.0475	1.07497
0.0476	1.07728
0.0477	1.07991
0.0478	1.0827
0.0479	1.085
0.048	1.08649
0.0481	1.08928
0.0482	1.09109
0.0483	1.09257
0.0484	1.09487
0.0485	1.09668
0.0486	1.098
0.0487	1.09997
0.0488	1.10145
0.0489	1.1026
0.049	1.10425
0.0491	1.10375
0.0492	1.10244
0.0493	1.10096
0.0494	1.09981
0.0495	1.09717
0.0496	1.09569
0.0497	1.09471
0.0498	1.09208
0.0499	1.0901
0.05	1.08879
0.0501	1.08599
0.0502	1.08369
0.0503	1.08204
0.0504	1.07908
0.0505	1.07662
0.0506	1.07432
0.0507	1.07135
0.0508	1.06807
0.0509	1.06527
0.051	1.06165
0.0511	1.05787
0.0512	1.05442
0.0513	1.05047
0.0514	1.04603
0.0515	1.04241
0.0516	1.03764
0.0517	1.03221
0.0518	1.02843
0.0519	1.02317
0.052	1.01774
0.0521	1.01264
0.0522	1.00771
0.0523	1.0013
0.0524	0.995868
0.0525	0.990605
0.0526	0.984192
0.0527	0.978436
0.0528	0.972351
0.0529	0.965443
0.053	0.959194
0.0531	0.95278
