

Loading Trial 1

Mass	Raw V	Adjusted
0	-0.002	0
20	0.023	0.025
50	0.059	0.061
100	0.120	0.122
200	0.240	0.242
300	0.363	0.365
400	0.486	0.488
500	0.613	0.615
600	0.735	0.737
700	0.856	0.858
800	0.977	0.979
900	1.104	1.106
1000	1.223	1.225
1100	1.350	1.352
1200	1.469	1.471
1300	1.590	1.592
1400	1.711	1.713
1500	1.837	1.839
1600	1.964	1.966
1700	2.086	2.088
1800	2.211	2.213
1900	2.333	2.335
2000	2.455	2.457


Loading Trial 2

Mass	Raw V	Adjusted
0	0.006	0
20	0.030	0.024
50	0.066	0.06
100	0.128	0.122
200	0.252	0.246
300	0.375	0.369
400	0.498	0.492
500	0.619	0.613
600	0.742	0.736
700	0.865	0.859
800	0.987	0.981
900	1.111	1.105
1000	1.235	1.229
1100	1.358	1.352
1200	1.481	1.475
1300	1.604	1.598
1400	1.727	1.721
1500	1.850	1.844
1600	1.972	1.966
1700	2.094	2.088
1800	2.217	2.211
1900	2.336	2.33
2000	2.461	2.455


Loading Trial 3

Mass	Raw V	Adjusted
0	0.002	0
20	0.027	0.025
50	0.063	0.061
100	0.124	0.122
200	0.248	0.246
300	0.371	0.369
400	0.493	0.491
500	0.614	0.612
600	0.738	0.736
700	0.861	0.859
800	0.984	0.982
900	1.107	1.105
1000	1.229	1.227
1100	1.351	1.349
1200	1.475	1.473
1300	1.600	1.598
1400	1.723	1.721
1500	1.842	1.84
1600	1.964	1.962
1700	2.084	2.082
1800	2.208	2.206
1900	2.329	2.327
2000	2.455	2.453


Unloading

Mass	Raw V	Adjusted
0	-0.019	0
20	0.006	0.025
50	0.044	0.063
100	0.105	0.124
200	0.227	0.246
300	0.351	0.37
400	0.475	0.494
500	0.598	0.617
600	0.721	0.74
700	0.842	0.861
800	0.967	0.986
900	1.090	1.109
1000	1.236	1.255
1100	1.362	1.381
1200	1.478	1.497
1300	1.603	1.622
1400	1.726	1.745
1500	1.849	1.868
1600	1.973	1.992
1700	2.093	2.112
1800	2.216	2.235
1900	2.333	2.352
2000	2.459	2.478


Combined Loading Data

Mass	Mean V	Standard Dev
0.0	0.000	0.000
0.02	0.02467	0.0005774
0.05	0.06067	0.0005774
0.1	0.1220	0.000
0.2	0.2447	0.002309
0.3	0.3677	0.002309
0.4	0.4903	0.002082
0.5	0.6133	0.001528
0.6	0.7363	0.0005774
0.7	0.8587	0.0005774
0.8	0.9807	0.001528
0.9	1.105	0.0005774
1.0	1.227	0.002000
1.1	1.351	0.001732
1.2	1.473	0.002000
1.3	1.596	0.003464
1.4	1.718	0.004619
1.5	1.841	0.002646
1.6	1.965	0.002309
1.7	2.086	0.003464
1.8	2.210	0.003606
1.9	2.331	0.004041
2.0	2.455	0.002000
